2025-04-28 12:49:44,060 INFO    MainThread:49996 [wandb_setup.py:_flush():67] Current SDK version is 0.19.9
2025-04-28 12:49:44,061 INFO    MainThread:49996 [wandb_setup.py:_flush():67] Configure stats pid to 49996
2025-04-28 12:49:44,061 INFO    MainThread:49996 [wandb_setup.py:_flush():67] Loading settings from C:\Users\USER\.config\wandb\settings
2025-04-28 12:49:44,061 INFO    MainThread:49996 [wandb_setup.py:_flush():67] Loading settings from C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\wandb\settings
2025-04-28 12:49:44,061 INFO    MainThread:49996 [wandb_setup.py:_flush():67] Loading settings from environment variables
2025-04-28 12:49:44,061 INFO    MainThread:49996 [wandb_init.py:setup_run_log_directory():662] Logging user logs to C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\wandb\run-20250428_124944-yn555m6x\logs\debug.log
2025-04-28 12:49:44,063 INFO    MainThread:49996 [wandb_init.py:setup_run_log_directory():663] Logging internal logs to C:\Users\USER\Documents\vscode project\NCYU LABs\lab5\wandb\run-20250428_124944-yn555m6x\logs\debug-internal.log
2025-04-28 12:49:44,063 INFO    MainThread:49996 [wandb_init.py:init():781] calling init triggers
2025-04-28 12:49:44,063 INFO    MainThread:49996 [wandb_init.py:init():786] wandb.init called with sweep_config: {}
config: {'_wandb': {'code_path': 'code/task3_gpt.py'}}
2025-04-28 12:49:44,063 INFO    MainThread:49996 [wandb_init.py:init():809] starting backend
2025-04-28 12:49:44,063 INFO    MainThread:49996 [wandb_init.py:init():813] sending inform_init request
2025-04-28 12:49:44,076 INFO    MainThread:49996 [backend.py:_multiprocessing_setup():101] multiprocessing start_methods=spawn, using: spawn
2025-04-28 12:49:44,076 INFO    MainThread:49996 [wandb_init.py:init():823] backend started and connected
2025-04-28 12:49:44,076 INFO    MainThread:49996 [wandb_init.py:init():915] updated telemetry
2025-04-28 12:49:44,079 INFO    MainThread:49996 [wandb_init.py:init():939] communicating run to backend with 90.0 second timeout
2025-04-28 12:49:44,768 INFO    MainThread:49996 [wandb_init.py:init():1014] starting run threads in backend
2025-04-28 12:49:44,817 INFO    MainThread:49996 [wandb_run.py:_console_start():2454] atexit reg
2025-04-28 12:49:44,817 INFO    MainThread:49996 [wandb_run.py:_redirect():2306] redirect: wrap_raw
2025-04-28 12:49:44,817 INFO    MainThread:49996 [wandb_run.py:_redirect():2371] Wrapping output streams.
2025-04-28 12:49:44,817 INFO    MainThread:49996 [wandb_run.py:_redirect():2394] Redirects installed.
2025-04-28 12:49:44,820 INFO    MainThread:49996 [wandb_init.py:init():1056] run started, returning control to user process
2025-04-28 17:32:44,076 INFO    MsgRouterThr:49996 [mailbox.py:close():129] [no run ID] Closing mailbox, abandoning 1 handles.
